Identifier,Serotype
2698536369,O108:H9
2698536372,O26:H11
2698536379,O55:H7
2698536387,O157:H7
2698536392,O165:H25
2698536395,O26:H11
2698536397,O128:H2
2698536418,O114:H2
2698536437,O157:H7
2698536450,-:H8
2698536476,O103:H2
2698536484,O126:H2
2698536485,O182:H25
2698536505,-:H5
2698536518,O74:H39
2698536549,O76:H19
2698536559,O63:H6
2698536573,O6:H16
2698536574,O26:H11
2698536580,O13/O135:H11
2698536581,O103:H2
2698536590,O4:H16
2698536594,O93/O8:H30
2698536610,O173:H7
2698536640,O91:H14
2698536649,O157:H7
2698536651,O16:H48
2698536677,-:H5
2698536684,O157:H7
2698536687,O74:H39
2700989272,O8:H11
2700989273,O8:H11
2700989400,O88:H8
2700989428,O4:H5
2700989432,O22:H1
2700989485,O157:H7
2700989486,O111:H2
2700989496,O25:H4
2700989507,O145:-
2700989508,O26:H11
2700989535,O128:H35
2703718672,O157:H7
2703718674,O157:H7
2703718773,O103:H2
2703718774,O26:H11
2703718775,O26:H11
2703718776,O26:H11
2703718777,O182:H25
2703718780,O103:H2
2703718781,O145:-
2703718784,O91:H14
2703718785,O26:H11
2703718786,O63:H6
2703718787,O91:H14
2703718789,O182:H25
2703718794,O185:H7
2703718797,O75:H7
2703718798,O27:H30
2703718800,O91:H14
2703718801,O108:H25
2703718802,O113:H4
2703718806,O181:H49
2703718807,O63:H6
2703718812,O103:H2
2703718813,O174:H8
2703718815,O100:H30
2703718817,-:H20
2703718819,O91:H14
2703718821,O91:H21
2703718822,O76:H19
2703718823,O91:H14
2703718824,O146:H21
2703718827,O107/O117:H27
2703718829,-:H10
2703718832,O132:H12
2703718833,O15:H8
2703718839,-:H32
2703718845,O89:H9
2703718847,O93/O8:H30
2703718848,O74/O8:H2
2703718850,O74:H39
2703718856,O13/O135:H11
2703718859,O146:H21
2703718861,O91:H14
2703718862,O91:H14
2703718870,O91:H14
2703718872,O91:H14
2703718873,O128:H2
2703719347,O89:H10
2703719349,O113:H21
2703719365,O157:H7
2703719366,O157:H7
2703719367,O157:H7
2703719368,O157:H7
2703719369,O157:H7
2703719389,O165:H9
2706794492,O157:H7
2706794493,O157:H7
2711768032,O181:H49
2711768037,O6:H34
2711768041,O66:H45
2711768047,O77/O17/O44/O106/O73:H41
2711768052,O185:H2
2711768053,O175:H28
2711768056,O153:H34
2711768058,O142:H38
2711768060,O91:H21
2711768063,O8:H49
2711768064,O148:H8
2711768068,O108:H21
2711768069,O101/O162:H33
2711768070,O101/O162:H33
2711768076,O55:H21
2713896768,O26:H11
2713896772,O26:H11
2713896776,O75:H38
2713896780,O145:-
2713896781,O145:-
2713896784,O157:H7
2713896785,O103:H25
2713896791,O45:H2
2713896792,O103:H2
